seller_code,seller_name,seller_trust,seller_safe_sales,seller_customs,seller_items,category_top,sell_method,seller_view,seller_like,seller_chat
6042,행복한인생되세요,655.0,16,3,8,패션잡화,"직거래,택배,편의점픽업",78,0,2
6050,도날드민,623.0,5,20,38,"패션잡화, 패션의류","택배, 직거래,택배",982,0,1
6284,서요니,439.0,2,3,1,노트북/PC,"직거래,택배",141,0,1
6390,달님과,295.0,0,0,2,패션잡화,"직거래,택배",8,1,0
6463,데프콘,649.0,0,1,2,"노트북/PC, 패션의류",택배,26,0,0
7078,첫번째,440.0,2,0,1,노트북/PC,"직거래,택배",62,0,0
7650,휘영청,230.0,0,0,1,가전제품,"직거래,택배",1,0,0
8094,지음지교,476.0,0,0,1,모바일/태블릿,택배,70,0,0
8103,레드라이언,457.0,3,0,1,패션잡화,직거래,51,0,0
8520,콜라가좋아,500.0,0,0,1,패션잡화,"직거래,택배",25,0,0
8652,꽁노야옹,440.0,1,0,1,노트북/PC,택배,46,0,1
8713,재능있는가리비,333.0,0,0,1,패션의류,택배,9,0,0
8912,피피피피,613.0,0,0,1,가전제품,"직거래,택배",36,1,0
9760,공호리,522.0,0,4,1,가전제품,"직거래,택배",203,2,4
9982,hyeseong6792,474.0,0,0,1,패션의류,택배,8,0,0
10136,모모짱,727.0,10,6,6,"노트북/PC, 가전제품, 패션잡화","직거래,택배",104,1,2
10193,한푼두푼l,339.0,0,13,2,패션잡화,"직거래,택배",8,0,0
10572,빠른거래79,482.0,0,8,8,가전제품,택배,296,0,3
10792,음악청춘,661.0,2,1,5,"모바일/태블릿, 가전제품",택배,49,1,0
10797,나나리,222.0,0,0,1,패션의류,택배,16,0,1
11952,지브로트,605.0,3,1,1,가전제품,"직거래,택배",95,0,0
11954,joejak,488.0,2,0,2,가전제품,"직거래,택배",31,0,1
11976,단호한새로움진,638.0,1,0,2,노트북/PC,"직거래,택배, 직거래",83,0,2
12370,soosoomom,579.0,31,10,2,패션의류,택배,16,0,0
12392,상점17262829,581.0,0,0,1,모바일/태블릿,"직거래,택배",306,1,1
12542,낚도,268.0,0,1,1,가전제품,직거래,22,0,0
12686,하양소다,721.0,0,0,1,노트북/PC,직거래,178,2,3
12853,nktw123,674.0,0,0,7,"패션잡화, 패션의류","택배, 직거래,택배",189,2,0
13071,탱돌탱순맘,312.0,0,1,1,노트북/PC,직거래,74,0,1
13223,와와치,616.0,0,0,1,패션잡화,택배,24,0,0
13233,오가니크,627.0,9,2,1,가전제품,"직거래,택배",22,0,0
13370,roadrain,592.0,0,0,1,모바일/태블릿,택배,17,0,0
13762,로즈마리상점,526.0,7,154,85,"패션잡화, 패션의류",택배,1135,0,10
13782,goasdto,526.0,4,1,1,노트북/PC,"직거래,택배",19,0,1
13799,노을의뒷모습,617.0,4,0,6,"가전제품, 패션잡화",택배,127,0,1
14012,상암동폭격기왕,775.0,2,3,2,가전제품,"직거래,택배",44,2,0
14268,카도마켓,526.0,1,0,2,패션의류,"직거래,택배",26,0,0
14276,ecco,350.0,0,2,1,가전제품,"직거래,택배",50,0,0
14289,배드구기,328.0,0,0,1,패션잡화,"직거래,택배,편의점픽업",58,0,0
14291,인이님,230.0,0,0,1,가전제품,택배,3,0,0
14323,brecht,620.0,0,0,2,"노트북/PC, 모바일/태블릿","직거래,택배, 택배",25,0,0
14434,쿠키2,302.0,0,0,1,가전제품,택배,19,0,0
14570,KHJoon,392.0,0,0,2,노트북/PC,"직거래,택배, 직거래",25,0,0
14949,프라다천사,446.0,0,0,1,가전제품,"직거래,택배",32,1,0
15281,블루레이,785.0,19,2,5,"노트북/PC, 가전제품",택배,132,1,0
15430,스노우걸쓰,575.0,1,2,1,가전제품,"직거래,택배",20,0,0
15797,오봉자1134,212.0,0,0,1,가전제품,"직거래,택배",4,0,0
15817,용사,328.0,0,2,1,가전제품,"직거래,택배",37,0,0
15892,요들레이휴,281.0,0,0,1,노트북/PC,"직거래,택배",37,0,1
15927,king777,680.0,2,10,1,가전제품,"직거래,택배",46,0,1
16022,작샬삿감,464.0,1,0,1,가전제품,택배,39,0,0
16239,현명거래인,331.0,0,0,1,노트북/PC,"직거래,택배",20,0,0
16297,스파이크xx,389.0,2,1,1,노트북/PC,직거래,15,0,1
16440,viiv,526.0,0,0,1,가전제품,직거래,25,0,0
16846,guitar판매,582.0,0,2,3,가전제품,"직거래,택배",115,2,0
17313,마스터AJ,485.0,1,0,1,가전제품,"직거래,택배",9,0,0
17545,kuby49,745.0,8,3,14,"가전제품, 패션잡화, 패션의류","택배, 직거래,택배",102,0,0
17556,상감이맘,295.0,0,0,1,패션의류,택배,11,0,0
17610,양봉킴,267.0,0,0,2,패션잡화,"직거래,택배",11,0,0
18142,글렌체크,535.0,0,0,14,"패션잡화, 패션의류",택배,129,0,0
18435,선우지아,248.0,0,0,1,패션의류,직거래,1,0,0
18536,너바나,404.0,0,0,1,패션의류,"직거래,택배",3,0,0
18678,천원행사중,479.0,0,174,3,"패션잡화, 패션의류",택배,30,0,0
18918,방좁아터져서정리중,557.0,7,0,1,노트북/PC,택배,79,1,0
19041,가링링,761.0,2,6,1,노트북/PC,"직거래,택배",199,0,0
19090,위버필드,509.0,0,0,2,"노트북/PC, 가전제품","직거래,택배",2,0,0
19116,hyooo,473.0,0,0,3,"가전제품, 패션의류","직거래,택배",254,1,2
19272,마이클정,564.0,0,0,7,"노트북/PC, 가전제품","직거래,택배",193,0,3
19304,사랑가득행복만땅,604.0,51,461,44,"패션잡화, 패션의류",택배,734,0,6
19400,칼답하는사람이에요,429.0,0,0,1,노트북/PC,"직거래,택배",27,0,0
19420,행복가득한노을새떡,524.0,0,80,4,가전제품,"직거래,택배, 직거래",460,5,12
19525,능숙한밤별스피넬,230.0,0,0,1,패션잡화,"직거래,택배",6,0,0
19588,다혼자판다,567.0,0,1,5,"모바일/태블릿, 패션잡화, 패션의류","택배, 직거래,택배",114,0,1
19688,상점912,297.0,2,0,1,패션잡화,"직거래,택배",31,0,0
19751,보송한현재카네이션,752.0,26,0,1,노트북/PC,"직거래,택배",133,1,3
19829,비데물티슈조작,650.0,27,3,2,"가전제품, 패션잡화",택배,7,0,0
19956,스피커만땅고,723.0,81,26,68,"노트북/PC, 모바일/태블릿, 가전제품, 패션잡화",택배,2591,0,15
20234,트리시아,464.0,4,0,1,패션잡화,택배,0,0,0
20236,동대경영,614.0,1,0,7,패션의류,"직거래,택배",52,0,0
20427,슬빛,488.0,0,1,1,패션의류,"직거래,택배,편의점픽업",5,0,0
20606,더불어사는사회,470.0,0,20,2,패션잡화,"직거래,택배",91,0,1
20670,신남편,260.0,0,0,3,패션잡화,직거래,9,1,0
20727,잉끼,474.0,1,2,4,"노트북/PC, 가전제품","직거래,택배",56,0,0
20771,럭키보이,420.0,0,57,19,가전제품,직거래,1015,1,4
20964,샐미온,511.0,0,5,1,모바일/태블릿,직거래,62,0,0
20981,나마루,327.0,0,0,1,모바일/태블릿,"직거래,택배",34,0,0
21076,yeg,504.0,0,0,3,패션잡화,"직거래,택배, 직거래,택배,편의점픽업",148,2,3
21128,개구쟁이야,678.0,20,55,28,"가전제품, 패션잡화, 패션의류","직거래,택배, 택배, 직거래,택배,편의점픽업",1244,1,2
21216,너나우리너희,249.0,0,0,1,가전제품,"직거래,택배",9,1,0
21289,아마우타,508.0,0,0,1,가전제품,"직거래,택배",8,0,0
21307,daybreak25,285.0,1,0,4,가전제품,"직거래,택배",44,0,0
21424,홈매트짱,478.0,0,0,1,노트북/PC,"직거래,택배",516,8,11
21512,펜도링,558.0,2,3,1,패션잡화,택배,29,0,1
21850,사고팔고신뢰욤,702.0,14,0,2,노트북/PC,택배,149,2,0
21912,보물삼,554.0,0,0,1,가전제품,"직거래,택배",274,0,8
22136,꼬소하이처,354.0,0,0,1,노트북/PC,"직거래,택배",85,0,3
22319,골든,505.0,2,0,4,노트북/PC,"직거래,택배",45,0,0
22579,지성현,709.0,2,2,4,"노트북/PC, 가전제품, 패션잡화","직거래, 직거래,택배",381,2,0
22875,minws,463.0,3,5,2,노트북/PC,"직거래,택배",50,0,3
23021,정딸기전품목택포,710.0,69,195,31,"패션잡화, 패션의류",택배,342,0,2
23141,즐거운생활,454.0,0,1,10,패션잡화,택배,37,0,0
23262,중앙음향,758.0,15,19,11,가전제품,"직거래,택배, 직거래",801,0,6
23283,봄비내리는밤,684.0,4,3,1,모바일/태블릿,"직거래,택배",35,0,1
23323,비연jm,573.0,2,2,1,가전제품,"직거래,택배",33,0,0
23805,그론카에르,725.0,23,12,4,"모바일/태블릿, 가전제품","직거래,택배,편의점픽업",237,0,0
24027,괭이,449.0,0,1,2,"노트북/PC, 가전제품",택배,3,0,0
24168,내용에가격적혀있음,379.0,0,3,5,가전제품,직거래,20,0,0
24907,바람불이,328.0,0,0,1,모바일/태블릿,"직거래,택배,편의점픽업",41,0,0
25207,마이무으따,488.0,1,0,5,"노트북/PC, 가전제품","직거래, 직거래,택배",393,2,4
25253,겸댕,366.0,0,0,1,가전제품,택배,38,0,0
25391,동구,392.0,0,0,1,노트북/PC,"직거래,택배",32,0,1
25435,포키12,457.0,2,0,1,모바일/태블릿,"직거래,택배",59,1,1
25825,하니도미,690.0,4,1,10,패션잡화,택배,161,0,2
25847,나무늘보네야,260.0,0,0,1,노트북/PC,"직거래,택배",24,0,0
25923,이수영1227,495.0,1,0,1,모바일/태블릿,"직거래,택배",14,0,0
26297,banaba,506.0,2,6,3,패션의류,"직거래,택배",19,0,0
27069,moldbest11,625.0,1,0,1,패션잡화,택배,96,1,0
27138,궁금한여백바나나,356.0,0,0,1,패션잡화,택배,36,0,0
27348,행복이올꺼야,511.0,2,1,1,패션잡화,"직거래,택배,편의점픽업",26,0,0
27455,오홍오홍,537.0,12,0,2,패션잡화,택배,45,0,0
27489,웰빙나라,583.0,15,6,1,가전제품,"직거래,택배",101,1,1
27567,charlie,719.0,37,31,3,가전제품,"직거래,택배",41,0,1
27793,생각,282.0,0,1,1,노트북/PC,직거래,76,0,1
28121,이타고라스,625.0,4,2,2,"모바일/태블릿, 가전제품","직거래,택배,편의점픽업",38,0,1
28174,특급태풍,311.0,5,1,1,노트북/PC,"직거래,택배",18,0,0
28360,흐린별,700.0,8,0,1,모바일/태블릿,택배,26,0,1
28450,냐옹아모해,655.0,3,7,3,패션의류,택배,39,0,0
28589,종량,458.0,0,0,2,가전제품,직거래,144,2,2
29068,my79dream,243.0,0,0,1,가전제품,"직거래,택배",17,0,0
29096,제니언니b,723.0,6,20,1,패션잡화,택배,17,0,0
29332,사기꾼잡는상인,630.0,0,6,1,패션잡화,"직거래,택배",9,0,0
29769,대인배,411.0,0,0,1,가전제품,"직거래,택배,편의점픽업",23,0,0
29908,대구주민,381.0,0,1,1,가전제품,"직거래,택배",7,0,0
30117,투쭈니맘,449.0,0,1,1,패션잡화,택배,20,0,0
30338,진관동,418.0,1,0,2,노트북/PC,"택배, 직거래,택배",18,0,1
30356,곰굴러,387.0,0,0,1,노트북/PC,택배,11,0,0
30741,코플랜드,251.0,0,0,2,가전제품,"직거래, 직거래,택배",88,1,4
30760,도로헤도로,536.0,1,0,1,패션의류,"직거래,택배",7,0,0
30903,vitessa,477.0,0,0,2,"노트북/PC, 가전제품","직거래, 택배",96,1,0
31236,cotj123,250.0,0,0,1,패션잡화,"직거래,택배",8,0,0
31314,영어로해야되나,493.0,2,0,1,가전제품,택배,55,0,0
31562,엄탱탱,421.0,0,0,1,노트북/PC,"직거래,택배",48,0,0
31870,magmax,656.0,3,0,3,노트북/PC,"직거래,택배",156,0,1
31904,금강선1호팬,845.0,13,0,1,노트북/PC,택배,80,0,0
32129,자유인TM,281.0,0,0,1,노트북/PC,"직거래,택배",40,0,0
32187,박또로오옹이,513.0,0,1,1,노트북/PC,택배,37,1,1
32295,프리지아z,673.0,3,16,45,패션의류,택배,610,0,1
32549,아나바다8,376.0,0,0,1,가전제품,직거래,15,0,0
32690,nextx500,617.0,2,1,1,노트북/PC,"직거래,택배",160,0,4
32723,홍길도,686.0,4,1,6,"노트북/PC, 모바일/태블릿",직거래,608,7,2
32818,구남백구,689.0,1,0,1,노트북/PC,"직거래,택배",72,0,0
32819,삼무기,368.0,0,0,1,모바일/태블릿,택배,97,2,6
32823,풍짜,688.0,11,1,4,"모바일/태블릿, 가전제품, 패션잡화","직거래,택배",307,3,3
33108,피카츄츄,483.0,0,0,2,가전제품,택배,94,1,0
33113,horsoftaxi,546.0,1,0,7,"모바일/태블릿, 패션잡화, 패션의류",택배,249,1,0
33115,인버터,573.0,0,0,1,가전제품,"직거래,택배",48,1,0
33201,포그바,594.0,0,0,5,"패션잡화, 패션의류",택배,99,0,0
33477,제니퍼3244,308.0,0,0,1,모바일/태블릿,"직거래,택배",31,0,0
33722,수보리준섭이,233.0,0,0,1,가전제품,"직거래,택배",36,0,0
34027,용이용,667.0,1,0,2,"모바일/태블릿, 가전제품","직거래,택배, 직거래,택배,편의점픽업",142,2,0
34499,황보미남,710.0,0,0,1,모바일/태블릿,"직거래,택배",29,0,0
34509,발로텔리,638.0,2,3,1,노트북/PC,택배,50,0,2
34585,정원의자,453.0,0,0,1,가전제품,직거래,29,0,0
35076,michael,552.0,1,0,1,가전제품,직거래,31,0,0
35444,리태식이,457.0,0,0,1,가전제품,"직거래,택배",58,0,0
35960,와일드하냐,345.0,0,0,5,노트북/PC,"직거래,택배",145,3,3
36116,지렁지렁,751.0,1,6,1,패션의류,택배,27,0,0
36141,백범,691.0,3,0,1,노트북/PC,"직거래,택배",3,0,0
36254,종석,740.0,36,8,2,노트북/PC,"택배, 직거래,택배",391,3,2
36920,냐핳하하,486.0,3,0,1,가전제품,"직거래,택배",33,0,1
37412,소양간처녀,657.0,4,11,2,"가전제품, 패션잡화","직거래,택배,편의점픽업",477,5,10
37523,Cool한,628.0,6,96,8,패션의류,택배,109,0,0
37576,히든챔피언,321.0,1,0,2,패션의류,"택배, 직거래,택배",11,0,0
37668,dwry,542.0,0,0,1,모바일/태블릿,"직거래,택배",126,5,1
37680,lovely,566.0,0,0,3,노트북/PC,택배,130,0,0
37758,하솔,675.0,0,0,2,가전제품,직거래,102,4,3
37766,천년의기사,703.0,26,4,1,노트북/PC,"직거래,택배",78,1,0
37780,eulogia,724.0,13,2,6,"모바일/태블릿, 패션의류","직거래,택배",243,2,1
38748,고무신,771.0,5,1,1,모바일/태블릿,택배,32,0,1
38850,mboys,284.0,0,0,1,노트북/PC,택배,4,0,0
38936,SHOL,509.0,0,0,1,노트북/PC,"직거래,택배",160,1,4
39130,광주쵸리,471.0,4,0,2,가전제품,"직거래,택배,편의점픽업",81,0,0
39327,슈가55,379.0,0,0,1,모바일/태블릿,택배,38,1,1
39460,롤렉스,660.0,4,2,1,패션잡화,"직거래,택배",468,4,5
39484,낄라루고,438.0,0,2,3,패션잡화,"직거래,택배",54,0,0
39552,하늘을닮은감자튀김풀,405.0,0,0,1,가전제품,직거래,42,0,0
39555,모멘트,771.0,1,1,2,패션잡화,"직거래,택배",24,0,0
39562,싫오,393.0,0,0,2,노트북/PC,"직거래,택배",102,0,0
39626,열심히살고있음,552.0,13,3,4,"노트북/PC, 가전제품","직거래,택배",9,0,0
39640,이노센트,612.0,0,0,1,모바일/태블릿,택배,139,4,1
39703,봄날222,681.0,0,0,1,패션의류,"직거래,택배",11,0,0
39820,쪼랭드,722.0,11,8,2,노트북/PC,"직거래, 직거래,택배",36,0,0
39957,멋쟁이동동,532.0,0,2,5,"패션잡화, 패션의류","직거래,택배",53,0,0
40262,비셔스,553.0,2,0,1,노트북/PC,"직거래,택배",25,0,0
40464,지극한호기심물마루,355.0,0,0,1,노트북/PC,택배,11,0,0
40531,Eclipseeee,595.0,3,1,2,노트북/PC,직거래,48,0,0
40589,grayarena,671.0,2,0,1,가전제품,"직거래,택배",3,0,0
40955,티모데이,385.0,1,0,1,노트북/PC,"직거래,택배",53,1,0
40967,블리블링링,574.0,0,1,2,"가전제품, 패션잡화","직거래,택배",26,0,1
41404,둥이아빠요,464.0,1,0,1,모바일/태블릿,"직거래,택배",75,2,2
41526,원클릭,496.0,0,4,2,가전제품,직거래,20,0,0
41950,별키위,586.0,0,0,5,노트북/PC,택배,16,0,0
42057,ABBA,693.0,1,4,2,가전제품,직거래,362,1,5
42096,스피커삽니다,429.0,0,0,1,노트북/PC,"직거래,택배",25,0,0
42172,블랙팬서,369.0,0,2,1,패션잡화,"직거래,택배",14,0,0
42367,미끼79,510.0,1,0,1,노트북/PC,직거래,32,0,0
42394,복단,745.0,5,2,2,노트북/PC,"직거래,택배",218,0,3
42916,ksj7151,317.0,0,0,2,노트북/PC,"직거래,택배",129,0,5
42947,스즈미야,663.0,0,0,1,노트북/PC,직거래,8,0,0
42955,네번째달,677.0,15,0,2,"노트북/PC, 패션잡화","직거래,택배",45,0,0
43215,whitehui,498.0,0,1,1,패션의류,직거래,25,0,0
43684,KW모바일,293.0,0,0,4,모바일/태블릿,"직거래,택배, 직거래",29,0,1
44038,텐텐프리덤,514.0,4,0,4,패션의류,택배,331,0,0
44414,부산일반인,379.0,0,0,1,모바일/태블릿,"직거래,택배",45,0,0
44633,vanjoa,728.0,4,5,4,패션잡화,택배,146,0,4
44729,호구,438.0,0,0,1,노트북/PC,"직거래,택배",14,0,0
44738,삐가번쩍,381.0,1,0,5,"패션잡화, 패션의류",택배,87,0,1
44853,니가무서워요,615.0,3,0,1,노트북/PC,"직거래,택배",29,0,0
44928,잔잔하고따뜻한감정밥,463.0,0,0,1,노트북/PC,"직거래,택배,편의점픽업",240,0,1
45149,블루밍룩,757.0,36,16,101,"패션잡화, 패션의류",택배,1299,0,10
45453,SVA,341.0,0,1,1,가전제품,직거래,20,0,0
45566,ㄱㄷㅎㄴ,667.0,1,0,1,노트북/PC,직거래,36,0,0
45588,arrow82,289.0,0,0,1,가전제품,직거래,16,0,0
45951,shdywvwnd,189.0,0,0,1,패션잡화,"직거래,택배",4,0,0
46232,끼악,305.0,0,0,1,패션잡화,"직거래,택배",15,0,0
46456,라이푸콩콩,280.0,0,0,2,패션잡화,"직거래,택배",13,0,0
46872,Guitaro,316.0,0,0,1,가전제품,"직거래,택배",28,0,1
46942,동화작가,674.0,5,0,2,가전제품,"직거래,택배",28,0,0
46965,isagiyoi,407.0,1,2,1,노트북/PC,택배,38,0,2
47445,숀1,769.0,10,4,1,패션잡화,"직거래,택배",3,0,0
47687,딴슈,684.0,8,1,2,노트북/PC,"직거래,택배",89,0,2
47772,기막힌크림치즈고등어,439.0,0,0,2,가전제품,"직거래,택배",50,0,0
48263,느낌82,317.0,0,0,1,가전제품,택배,11,0,0
48430,쿨거래만합니담,491.0,0,0,5,패션잡화,택배,104,0,0
48436,윈디,489.0,1,0,2,노트북/PC,"직거래,택배",51,0,0
48701,Morring,679.0,10,0,1,노트북/PC,택배,142,0,0
48921,블루킴,766.0,19,102,30,가전제품,"직거래,택배",2141,2,15
48944,tregio,712.0,0,0,1,모바일/태블릿,직거래,17,0,1
48951,지금보고십다,324.0,1,0,1,노트북/PC,"직거래,택배",68,0,0
49002,스이천,535.0,1,0,2,노트북/PC,"직거래,택배",132,2,5
49275,RVRV,587.0,1,0,1,노트북/PC,"직거래,택배",54,1,1
49461,좋은하루되세요오,459.0,0,0,1,노트북/PC,직거래,59,0,0
50169,동공지진,558.0,12,0,1,노트북/PC,"직거래,택배",19,0,0
50308,나림이,438.0,3,1,3,노트북/PC,"직거래,택배",429,3,11
50326,Giantkiller,249.0,0,0,1,모바일/태블릿,"직거래,택배",34,0,0
50683,kiki48,716.0,15,2,1,가전제품,택배,40,0,1
50847,리치골드박복땡,554.0,0,1,7,"노트북/PC, 모바일/태블릿, 가전제품, 패션잡화, 패션의류",택배,74,0,1
50853,진탕1,517.0,0,0,3,가전제품,"직거래, 직거래,택배",188,0,0
52030,서미트,518.0,25,2,3,노트북/PC,택배,42,0,1
52566,moopama,329.0,1,0,3,"패션잡화, 패션의류","직거래,택배",11,0,0
52665,창공을날다,393.0,1,18,3,노트북/PC,"직거래,택배",140,3,2
52954,최원장,258.0,0,0,1,모바일/태블릿,택배,6,0,0
53295,hici,331.0,0,0,1,노트북/PC,"직거래,택배",131,0,0
53356,쌍둥이와,548.0,5,2,1,패션의류,"직거래,택배",2,0,0
53668,마크정,267.0,0,0,1,패션잡화,택배,9,0,0
54191,ucuoco,453.0,0,0,1,노트북/PC,"직거래,택배",39,0,0
54237,당근번장에서매일거래,707.0,7,2,5,"노트북/PC, 모바일/태블릿, 패션잡화, 패션의류","직거래,택배",176,0,2
54303,녹턴야상곡,672.0,6,2,4,"패션잡화, 패션의류",택배,20,0,0
54492,보트매니아,267.0,0,0,1,노트북/PC,택배,27,0,0
54630,프리랜서,391.0,0,2,1,노트북/PC,택배,9,0,0
54810,허피로,638.0,1,0,1,노트북/PC,"직거래,택배",104,0,0
55265,곰이다악,655.0,0,0,1,노트북/PC,"직거래,택배",62,1,2
55308,착불네고x,596.0,7,0,43,"노트북/PC, 가전제품, 패션잡화, 패션의류",택배,299,0,1
55336,황빠비,459.0,2,19,7,노트북/PC,"직거래,택배",654,8,15
55454,쇼봇,506.0,3,0,10,노트북/PC,"직거래,택배,편의점픽업, 직거래,택배",154,0,2
55814,복사기중고백화점,424.0,1,1,1,노트북/PC,택배,8,0,0
55844,금케네디,231.0,0,0,1,노트북/PC,"직거래,택배",5,0,0
56186,리던던시,580.0,0,1,2,가전제품,직거래,62,2,3
56279,a하늘동화a,397.0,0,0,1,가전제품,직거래,29,1,0
56458,와이WHY,369.0,1,0,1,노트북/PC,"직거래,택배",61,0,0
57007,diablo01,352.0,1,1,1,노트북/PC,"직거래,택배",19,0,0
57211,강가다인,462.0,0,0,1,패션잡화,"직거래,택배",0,0,0
57413,클릭천사,458.0,2,2,1,노트북/PC,"직거래,택배",22,1,0
57497,달진,714.0,6,1,1,노트북/PC,택배,23,0,0
57975,솩신,329.0,0,0,1,패션잡화,택배,33,0,0
58050,스틸토우,547.0,6,1,19,"패션잡화, 패션의류","직거래,택배",357,0,4
58479,고기점빵,316.0,0,0,1,모바일/태블릿,직거래,24,0,0
58563,안개꽃정원사,442.0,1,0,3,패션의류,택배,41,0,0
58860,머리숱대마왕,483.0,2,0,1,노트북/PC,"직거래,택배",98,0,0
58912,문수,189.0,0,2,1,가전제품,택배,7,0,0
59173,늘언제나긍정,673.0,0,0,1,가전제품,"직거래,택배",71,0,2
59193,토미2,783.0,15,1,3,노트북/PC,"직거래,택배",175,2,0
59713,권신,368.0,1,0,3,"노트북/PC, 가전제품","직거래,택배, 직거래",90,0,2
59714,horiejon,527.0,0,3,1,가전제품,직거래,36,1,0
60134,아네모네,340.0,0,0,1,모바일/태블릿,"직거래,택배,편의점픽업",15,0,0
60168,heybib1ee,264.0,0,0,1,노트북/PC,직거래,2,0,0
60225,깽이사랑,252.0,0,0,3,"가전제품, 패션잡화","직거래,택배",47,0,2
60310,나무1212,342.0,0,1,1,모바일/태블릿,"직거래,택배",29,0,0
60561,양씨,778.0,15,0,2,노트북/PC,"직거래,택배",84,1,2
60666,ebe컴퓨터,566.0,2,0,7,노트북/PC,"직거래,택배",1445,9,20
60827,또옹그리,616.0,0,0,3,"노트북/PC, 모바일/태블릿","직거래,택배,편의점픽업",78,0,3
60870,토토로님,621.0,1,7,2,패션잡화,"직거래,택배",11,0,0
60902,광명똘똘,379.0,2,0,2,가전제품,"직거래,택배",20,0,0
61439,comfydayz,348.0,0,0,3,"패션잡화, 패션의류",택배,48,0,0
61487,가이거,431.0,0,0,1,패션잡화,"직거래,택배",42,0,0
61607,천재동하,387.0,0,0,1,노트북/PC,택배,26,0,0
61670,좋은하루보내셔,565.0,1,0,1,가전제품,"직거래,택배",20,0,1
61759,콘콘콘,454.0,4,0,2,가전제품,"직거래,택배",25,0,0
61853,김범수,341.0,1,0,1,가전제품,"직거래,택배",27,0,0
62019,이스크라,627.0,7,2,1,가전제품,직거래,23,0,0
62171,야보,497.0,0,0,2,"노트북/PC, 모바일/태블릿","직거래,택배",163,1,6
62202,KBSCERT,544.0,9,2,3,노트북/PC,택배,38,0,0
62425,나무와나,573.0,0,0,1,가전제품,"직거래,택배",12,0,0
62636,폰스토리,426.0,0,63,3,모바일/태블릿,"직거래,택배",187,0,1
62768,보아스,823.0,42,102,2,가전제품,"직거래,택배",253,3,1
63228,조삼엄마,284.0,0,27,6,"패션잡화, 패션의류",택배,15,0,0
63410,전투프로,418.0,0,0,1,모바일/태블릿,"직거래,택배",22,0,0
64055,기쁜판매,305.0,0,0,4,노트북/PC,택배,31,0,0
64848,sc15880909,500.0,0,0,15,패션의류,택배,226,0,0
64998,PeeKaBooStyle,795.0,1,0,1,노트북/PC,"직거래,택배",300,3,1
65223,다정한고라니,433.0,0,0,1,모바일/태블릿,"직거래,택배",63,2,0
